prefix,resource,organisation,value,entity
local-planning-authority,,,E60000001,626001
statistical-geography,,,E60000001,626001
local-planning-authority,,,E60000002,626002
statistical-geography,,,E60000002,626002
local-planning-authority,,,E60000003,626003
statistical-geography,,,E60000003,626003
local-planning-authority,,,E60000004,626004
statistical-geography,,,E60000004,626004
local-planning-authority,,,E60000005,626005
statistical-geography,,,E60000005,626005
local-planning-authority,,,E60000006,626006
statistical-geography,,,E60000006,626006
local-planning-authority,,,E60000007,626007
statistical-geography,,,E60000007,626007
local-planning-authority,,,E60000008,626008
statistical-geography,,,E60000008,626008
local-planning-authority,,,E60000009,626009
statistical-geography,,,E60000009,626009
local-planning-authority,,,E60000010,626010
statistical-geography,,,E60000010,626010
local-planning-authority,,,E60000011,626011
statistical-geography,,,E60000011,626011
local-planning-authority,,,E60000012,626012
statistical-geography,,,E60000012,626012
local-planning-authority,,,E60000013,626013
statistical-geography,,,E60000013,626013
local-planning-authority,,,E60000014,626014
statistical-geography,,,E60000014,626014
local-planning-authority,,,E60000015,626015
statistical-geography,,,E60000015,626015
local-planning-authority,,,E60000016,626016
statistical-geography,,,E60000016,626016
local-planning-authority,,,E60000017,626017
statistical-geography,,,E60000017,626017
local-planning-authority,,,E60000018,626018
statistical-geography,,,E60000018,626018
local-planning-authority,,,E60000019,626019
statistical-geography,,,E60000019,626019
local-planning-authority,,,E60000020,626020
statistical-geography,,,E60000020,626020
local-planning-authority,,,E60000021,626021
statistical-geography,,,E60000021,626021
local-planning-authority,,,E60000022,626022
statistical-geography,,,E60000022,626022
local-planning-authority,,,E60000023,626023
statistical-geography,,,E60000023,626023
local-planning-authority,,,E60000024,626024
statistical-geography,,,E60000024,626024
local-planning-authority,,,E60000025,626025
statistical-geography,,,E60000025,626025
local-planning-authority,,,E60000026,626026
statistical-geography,,,E60000026,626026
local-planning-authority,,,E60000027,626027
statistical-geography,,,E60000027,626027
local-planning-authority,,,E60000028,626028
statistical-geography,,,E60000028,626028
local-planning-authority,,,E60000029,626029
statistical-geography,,,E60000029,626029
local-planning-authority,,,E60000030,626030
statistical-geography,,,E60000030,626030
local-planning-authority,,,E60000031,626031
statistical-geography,,,E60000031,626031
local-planning-authority,,,E60000032,626032
statistical-geography,,,E60000032,626032
local-planning-authority,,,E60000033,626033
statistical-geography,,,E60000033,626033
local-planning-authority,,,E60000034,626034
statistical-geography,,,E60000034,626034
local-planning-authority,,,E60000035,626035
statistical-geography,,,E60000035,626035
local-planning-authority,,,E60000036,626036
statistical-geography,,,E60000036,626036
local-planning-authority,,,E60000037,626037
statistical-geography,,,E60000037,626037
local-planning-authority,,,E60000038,626038
statistical-geography,,,E60000038,626038
local-planning-authority,,,E60000039,626039
statistical-geography,,,E60000039,626039
local-planning-authority,,,E60000040,626040
statistical-geography,,,E60000040,626040
local-planning-authority,,,E60000041,626041
statistical-geography,,,E60000041,626041
local-planning-authority,,,E60000042,626042
statistical-geography,,,E60000042,626042
local-planning-authority,,,E60000043,626043
statistical-geography,,,E60000043,626043
local-planning-authority,,,E60000044,626044
statistical-geography,,,E60000044,626044
local-planning-authority,,,E60000045,626045
statistical-geography,,,E60000045,626045
local-planning-authority,,,E60000046,626046
statistical-geography,,,E60000046,626046
local-planning-authority,,,E60000047,626047
statistical-geography,,,E60000047,626047
local-planning-authority,,,E60000048,626048
statistical-geography,,,E60000048,626048
local-planning-authority,,,E60000049,626049
statistical-geography,,,E60000049,626049
local-planning-authority,,,E60000050,626050
statistical-geography,,,E60000050,626050
local-planning-authority,,,E60000051,626051
statistical-geography,,,E60000051,626051
local-planning-authority,,,E60000052,626052
statistical-geography,,,E60000052,626052
local-planning-authority,,,E60000053,626053
statistical-geography,,,E60000053,626053
local-planning-authority,,,E60000054,626054
statistical-geography,,,E60000054,626054
local-planning-authority,,,E60000055,626055
statistical-geography,,,E60000055,626055
local-planning-authority,,,E60000056,626056
statistical-geography,,,E60000056,626056
local-planning-authority,,,E60000057,626057
statistical-geography,,,E60000057,626057
local-planning-authority,,,E60000058,626058
statistical-geography,,,E60000058,626058
local-planning-authority,,,E60000059,626059
statistical-geography,,,E60000059,626059
local-planning-authority,,,E60000060,626060
statistical-geography,,,E60000060,626060
local-planning-authority,,,E60000061,626061
statistical-geography,,,E60000061,626061
local-planning-authority,,,E60000062,626062
statistical-geography,,,E60000062,626062
local-planning-authority,,,E60000063,626063
statistical-geography,,,E60000063,626063
local-planning-authority,,,E60000064,626064
statistical-geography,,,E60000064,626064
local-planning-authority,,,E60000065,626065
statistical-geography,,,E60000065,626065
local-planning-authority,,,E60000066,626066
statistical-geography,,,E60000066,626066
local-planning-authority,,,E60000067,626067
statistical-geography,,,E60000067,626067
local-planning-authority,,,E60000068,626068
statistical-geography,,,E60000068,626068
local-planning-authority,,,E60000069,626069
statistical-geography,,,E60000069,626069
local-planning-authority,,,E60000070,626070
statistical-geography,,,E60000070,626070
local-planning-authority,,,E60000071,626071
statistical-geography,,,E60000071,626071
local-planning-authority,,,E60000072,626072
statistical-geography,,,E60000072,626072
local-planning-authority,,,E60000073,626073
statistical-geography,,,E60000073,626073
local-planning-authority,,,E60000074,626074
statistical-geography,,,E60000074,626074
local-planning-authority,,,E60000075,626075
statistical-geography,,,E60000075,626075
local-planning-authority,,,E60000076,626076
statistical-geography,,,E60000076,626076
local-planning-authority,,,E60000077,626077
statistical-geography,,,E60000077,626077
local-planning-authority,,,E60000078,626078
statistical-geography,,,E60000078,626078
local-planning-authority,,,E60000079,626079
statistical-geography,,,E60000079,626079
local-planning-authority,,,E60000080,626080
statistical-geography,,,E60000080,626080
local-planning-authority,,,E60000081,626081
statistical-geography,,,E60000081,626081
local-planning-authority,,,E60000082,626082
statistical-geography,,,E60000082,626082
local-planning-authority,,,E60000083,626083
statistical-geography,,,E60000083,626083
local-planning-authority,,,E60000084,626084
statistical-geography,,,E60000084,626084
local-planning-authority,,,E60000085,626085
statistical-geography,,,E60000085,626085
local-planning-authority,,,E60000086,626086
statistical-geography,,,E60000086,626086
local-planning-authority,,,E60000087,626087
statistical-geography,,,E60000087,626087
local-planning-authority,,,E60000088,626088
statistical-geography,,,E60000088,626088
local-planning-authority,,,E60000089,626089
statistical-geography,,,E60000089,626089
local-planning-authority,,,E60000090,626090
statistical-geography,,,E60000090,626090
local-planning-authority,,,E60000091,626091
statistical-geography,,,E60000091,626091
local-planning-authority,,,E60000092,626092
statistical-geography,,,E60000092,626092
local-planning-authority,,,E60000093,626093
statistical-geography,,,E60000093,626093
local-planning-authority,,,E60000094,626094
statistical-geography,,,E60000094,626094
local-planning-authority,,,E60000095,626095
statistical-geography,,,E60000095,626095
local-planning-authority,,,E60000096,626096
statistical-geography,,,E60000096,626096
local-planning-authority,,,E60000097,626097
statistical-geography,,,E60000097,626097
local-planning-authority,,,E60000098,626098
statistical-geography,,,E60000098,626098
local-planning-authority,,,E60000099,626099
statistical-geography,,,E60000099,626099
local-planning-authority,,,E60000100,626100
statistical-geography,,,E60000100,626100
local-planning-authority,,,E60000101,626101
statistical-geography,,,E60000101,626101
local-planning-authority,,,E60000102,626102
statistical-geography,,,E60000102,626102
local-planning-authority,,,E60000103,626103
statistical-geography,,,E60000103,626103
local-planning-authority,,,E60000104,626104
statistical-geography,,,E60000104,626104
local-planning-authority,,,E60000105,626105
statistical-geography,,,E60000105,626105
local-planning-authority,,,E60000106,626106
statistical-geography,,,E60000106,626106
local-planning-authority,,,E60000107,626107
statistical-geography,,,E60000107,626107
local-planning-authority,,,E60000108,626108
statistical-geography,,,E60000108,626108
local-planning-authority,,,E60000109,626109
statistical-geography,,,E60000109,626109
local-planning-authority,,,E60000110,626110
statistical-geography,,,E60000110,626110
local-planning-authority,,,E60000111,626111
statistical-geography,,,E60000111,626111
local-planning-authority,,,E60000112,626112
statistical-geography,,,E60000112,626112
local-planning-authority,,,E60000113,626113
statistical-geography,,,E60000113,626113
local-planning-authority,,,E60000114,626114
statistical-geography,,,E60000114,626114
local-planning-authority,,,E60000115,626115
statistical-geography,,,E60000115,626115
local-planning-authority,,,E60000116,626116
statistical-geography,,,E60000116,626116
local-planning-authority,,,E60000117,626117
statistical-geography,,,E60000117,626117
local-planning-authority,,,E60000118,626118
statistical-geography,,,E60000118,626118
local-planning-authority,,,E60000119,626119
statistical-geography,,,E60000119,626119
local-planning-authority,,,E60000120,626120
statistical-geography,,,E60000120,626120
local-planning-authority,,,E60000121,626121
statistical-geography,,,E60000121,626121
local-planning-authority,,,E60000122,626122
statistical-geography,,,E60000122,626122
local-planning-authority,,,E60000123,626123
statistical-geography,,,E60000123,626123
local-planning-authority,,,E60000124,626124
statistical-geography,,,E60000124,626124
local-planning-authority,,,E60000125,626125
statistical-geography,,,E60000125,626125
local-planning-authority,,,E60000126,626126
statistical-geography,,,E60000126,626126
local-planning-authority,,,E60000127,626127
statistical-geography,,,E60000127,626127
local-planning-authority,,,E60000128,626128
statistical-geography,,,E60000128,626128
local-planning-authority,,,E60000129,626129
statistical-geography,,,E60000129,626129
local-planning-authority,,,E60000130,626130
statistical-geography,,,E60000130,626130
local-planning-authority,,,E60000131,626131
statistical-geography,,,E60000131,626131
local-planning-authority,,,E60000132,626132
statistical-geography,,,E60000132,626132
local-planning-authority,,,E60000133,626133
statistical-geography,,,E60000133,626133
local-planning-authority,,,E60000134,626134
statistical-geography,,,E60000134,626134
local-planning-authority,,,E60000135,626135
statistical-geography,,,E60000135,626135
local-planning-authority,,,E60000136,626136
statistical-geography,,,E60000136,626136
local-planning-authority,,,E60000137,626137
statistical-geography,,,E60000137,626137
local-planning-authority,,,E60000138,626138
statistical-geography,,,E60000138,626138
local-planning-authority,,,E60000139,626139
statistical-geography,,,E60000139,626139
local-planning-authority,,,E60000140,626140
statistical-geography,,,E60000140,626140
local-planning-authority,,,E60000141,626141
statistical-geography,,,E60000141,626141
local-planning-authority,,,E60000142,626142
statistical-geography,,,E60000142,626142
local-planning-authority,,,E60000143,626143
statistical-geography,,,E60000143,626143
local-planning-authority,,,E60000144,626144
statistical-geography,,,E60000144,626144
local-planning-authority,,,E60000145,626145
statistical-geography,,,E60000145,626145
local-planning-authority,,,E60000146,626146
statistical-geography,,,E60000146,626146
local-planning-authority,,,E60000147,626147
statistical-geography,,,E60000147,626147
local-planning-authority,,,E60000148,626148
statistical-geography,,,E60000148,626148
local-planning-authority,,,E60000149,626149
statistical-geography,,,E60000149,626149
local-planning-authority,,,E60000150,626150
statistical-geography,,,E60000150,626150
local-planning-authority,,,E60000151,626151
statistical-geography,,,E60000151,626151
local-planning-authority,,,E60000152,626152
statistical-geography,,,E60000152,626152
local-planning-authority,,,E60000153,626153
statistical-geography,,,E60000153,626153
local-planning-authority,,,E60000154,626154
statistical-geography,,,E60000154,626154
local-planning-authority,,,E60000155,626155
statistical-geography,,,E60000155,626155
local-planning-authority,,,E60000156,626156
statistical-geography,,,E60000156,626156
local-planning-authority,,,E60000157,626157
statistical-geography,,,E60000157,626157
local-planning-authority,,,E60000158,626158
statistical-geography,,,E60000158,626158
local-planning-authority,,,E60000159,626159
statistical-geography,,,E60000159,626159
local-planning-authority,,,E60000160,626160
statistical-geography,,,E60000160,626160
local-planning-authority,,,E60000161,626161
statistical-geography,,,E60000161,626161
local-planning-authority,,,E60000162,626162
statistical-geography,,,E60000162,626162
local-planning-authority,,,E60000163,626163
statistical-geography,,,E60000163,626163
local-planning-authority,,,E60000164,626164
statistical-geography,,,E60000164,626164
local-planning-authority,,,E60000165,626165
statistical-geography,,,E60000165,626165
local-planning-authority,,,E60000166,626166
statistical-geography,,,E60000166,626166
local-planning-authority,,,E60000167,626167
statistical-geography,,,E60000167,626167
local-planning-authority,,,E60000168,626168
statistical-geography,,,E60000168,626168
local-planning-authority,,,E60000169,626169
statistical-geography,,,E60000169,626169
local-planning-authority,,,E60000170,626170
statistical-geography,,,E60000170,626170
local-planning-authority,,,E60000171,626171
statistical-geography,,,E60000171,626171
local-planning-authority,,,E60000172,626172
statistical-geography,,,E60000172,626172
local-planning-authority,,,E60000173,626173
statistical-geography,,,E60000173,626173
local-planning-authority,,,E60000174,626174
statistical-geography,,,E60000174,626174
local-planning-authority,,,E60000175,626175
statistical-geography,,,E60000175,626175
local-planning-authority,,,E60000176,626176
statistical-geography,,,E60000176,626176
local-planning-authority,,,E60000177,626177
statistical-geography,,,E60000177,626177
local-planning-authority,,,E60000178,626178
statistical-geography,,,E60000178,626178
local-planning-authority,,,E60000179,626179
statistical-geography,,,E60000179,626179
local-planning-authority,,,E60000180,626180
statistical-geography,,,E60000180,626180
local-planning-authority,,,E60000181,626181
